channel,text
entity_phrase,"RT @denterd: Ongoing attacks of Spanish nationalists against #Catalonia's police & firefighters in #Barcelona. Wake up, Europe https://t.co…"
news,NuPark and Denison Parking to Improve Patient Experience at St. Vincent Hospital https://t.co/gCWHsxoJgs https://t.co/wmHbI7eJZx
,
news_keywords,"Lawrie Painter at Scarborough Amusements. A portfolio of images, shot by Broth Tarn for @Burberry https://t.co/LRRuBN3p2e"
news_keywords,4 am on the way to the gym 4 car crash no one else on the highway how do they do it
news_keywords_sim,"Lawrie Painter at Scarborough Amusements. A portfolio of images, shot by Broth Tarn for @Burberry https://t.co/LRRuBN3p2e"
news_keywords_sim,RT @WhiteHelmetsEXP: #Whitehelmets Oct 21- Massive NATO Weapons Cache Captured From ISIS By SAA After Battle For Deir Ezzor Reveals Germ… 
entity_phrase,NuPark and Denison Parking to Improve Patient Experience at St. Vincent Hospital https://t.co/gCWHsxoJgs https://t.co/wmHbI7eJZx
entity_phrase,"Lawrie Painter at Scarborough Amusements. A portfolio of images, shot by Broth Tarn for @Burberry https://t.co/LRRuBN3p2e"
entity_phrase,RT @WhiteHelmetsEXP: #Whitehelmets Oct 21- Massive NATO Weapons Cache Captured From ISIS By SAA After Battle For Deir Ezzor Reveals Germ… 
